datetime,prompton,beltzvilleCombined,fewalter,blueMarsh
1/1/1945,3230.952196,,,
1/2/1945,13828.4754,,,
1/3/1945,14991.61819,,,
1/4/1945,9822.094676,,,
1/5/1945,7883.523359,,,
1/6/1945,5815.713953,,,
1/7/1945,4264.856899,,,
1/8/1945,3877.142635,,,
1/9/1945,4135.618811,,,
1/10/1945,3618.66646,,,
1/11/1945,3037.095064,,,
1/12/1945,2843.237933,,,
1/13/1945,2843.237933,,,
1/14/1945,2907.856977,,,
1/15/1945,2713.999845,,,
1/16/1945,2520.142713,,,
1/17/1945,2390.904625,,,
1/18/1945,2326.285581,,,
1/19/1945,2261.666537,,,
1/20/1945,2197.047493,,,
1/21/1945,2132.428449,,,
1/22/1945,2067.809406,,,
1/23/1945,2067.809406,,,
1/24/1945,2197.047493,,,
1/25/1945,2067.809406,,,
1/26/1945,2003.190362,,,
1/27/1945,2132.428449,,,
1/28/1945,2003.190362,,,
1/29/1945,1938.571318,,,
1/30/1945,1873.952274,,,
1/31/1945,1809.33323,,,
2/1/1945,1938.571318,,,
2/2/1945,2067.809406,,,
2/3/1945,1938.571318,,,
2/4/1945,1809.33323,,,
2/5/1945,1809.33323,,,
2/6/1945,1744.714186,,,
2/7/1945,1744.714186,,,
2/8/1945,1809.33323,,,
2/9/1945,1809.33323,,,
2/10/1945,1873.952274,,,
2/11/1945,1809.33323,,,
2/12/1945,1744.714186,,,
2/13/1945,1680.095142,,,
2/14/1945,1744.714186,,,
2/15/1945,1938.571318,,,
2/16/1945,2003.190362,,,
2/17/1945,2132.428449,,,
2/18/1945,2261.666537,,,
2/19/1945,2326.285581,,,
2/20/1945,2326.285581,,,
2/21/1945,2520.142713,,,
2/22/1945,2713.999845,,,
2/23/1945,3101.714108,,,
2/24/1945,3877.142635,,,
2/25/1945,5492.618733,,,
2/26/1945,7108.094832,,,
2/27/1945,8400.47571,,,
2/28/1945,10339.04703,,,
3/1/1945,13569.99922,,,
3/2/1945,10985.23747,,,
3/3/1945,10985.23747,,,
3/4/1945,19385.71318,,,
3/5/1945,21582.76067,,,
3/6/1945,16154.76098,,,
3/7/1945,21130.42736,,,
3/8/1945,17705.61803,,,
3/9/1945,17188.66568,,,
3/10/1945,11825.28504,,,
3/11/1945,10015.95181,,,
3/12/1945,9046.666149,,,
3/13/1945,8141.999534,,,
3/14/1945,8400.47571,,,
3/15/1945,10532.90416,,,
3/16/1945,14991.61819,,,
3/17/1945,28496.99837,,,
3/18/1945,36186.6646,,,
3/19/1945,30500.18873,,,
3/20/1945,24038.28434,,,
3/21/1945,25201.42713,,,
3/22/1945,27463.09367,,,
3/23/1945,21518.14163,,,
3/24/1945,15314.71341,,,
3/25/1945,11696.04695,,,
3/26/1945,9822.094676,,,
3/27/1945,8723.57093,,,
3/28/1945,8658.951886,,,
3/29/1945,7883.523359,,,
3/30/1945,6978.856744,,,
3/31/1945,6235.737739,,,
4/1/1945,5524.928255,,,
4/2/1945,5343.994932,,,
4/3/1945,8206.618578,,,
4/4/1945,8788.189974,,,
4/5/1945,10985.23747,,,
4/6/1945,15831.66576,,,
4/7/1945,11502.18982,,,
4/8/1945,9175.904237,,,
4/9/1945,7625.047183,,,
4/10/1945,6655.761524,,,
4/11/1945,5886.794901,,,
4/12/1945,5402.152072,,,
4/13/1945,4872.275912,,,
4/14/1945,4355.32356,,,
4/15/1945,3948.223584,,,
4/16/1945,3676.823599,,,
4/17/1945,3676.823599,,,
4/18/1945,4038.690245,,,
4/19/1945,3877.142635,,,
4/20/1945,3444.195041,,,
4/21/1945,3198.642674,,,
4/22/1945,2752.771271,,,
4/23/1945,2823.852219,,,
4/24/1945,2856.161741,,,
4/25/1945,2830.314124,,,
4/26/1945,5415.075881,,,
4/27/1945,8400.47571,,,
4/28/1945,8400.47571,,,
4/29/1945,6591.14248,,,
4/30/1945,5951.413945,,,
5/1/1945,5486.156829,,,
5/2/1945,6061.26632,,,
5/3/1945,5996.647276,,,
5/4/1945,6914.2377,,,
5/5/1945,7301.951963,,,
5/6/1945,6591.14248,,,
5/7/1945,6016.032989,,,
5/8/1945,5382.766359,,,
5/9/1945,5421.537785,,,
5/10/1945,5486.156829,,,
5/11/1945,9175.904237,,,
5/12/1945,10532.90416,,,
5/13/1945,9628.237545,,,
5/14/1945,10468.28512,,,
