date,residual_MG,dS_MG,netQ_MG,step_days
2009-10-15,-1.2576606422953773e-12,-22.733507323669983,-22.733507323668725,1.0
2009-10-16,4.831690603168681e-13,1.1528981798728637,1.1528981798723805,1.0
2009-10-17,-1.7053025658242404e-13,-4.4079533651693055,-4.407953365169135,1.0
2009-10-18,-1.3500311979441904e-12,-4.916201469719454,-4.916201469718104,1.0
2009-10-19,-1.7763568394002505e-13,-10.903452082524382,-10.903452082524204,1.0
2009-10-20,1.8474111129762605e-13,-11.629654170503272,-11.629654170503457,1.0
2009-10-21,3.339550858072471e-13,-11.464500449170373,-11.464500449170707,1.0
2009-10-22,9.663381206337363e-13,-10.413972699248916,-10.413972699249882,1.0
2009-10-23,9.094947017729282e-13,-8.180589837640582,-8.180589837641492,1.0
2009-10-24,6.536993168992922e-13,123.4782439344599,123.47824393445924,1.0
2009-10-25,4.547473508864641e-13,166.44472536233116,166.4447253623307,1.0
2009-10-26,1.7053025658242404e-13,68.09185842777151,68.09185842777134,1.0
2009-10-27,4.831690603168681e-13,37.94761545783331,37.947615457832825,1.0
2009-10-28,8.810729923425242e-13,172.4522672943658,172.45226729436493,1.0
2009-10-29,-8.526512829121202e-14,132.49752794391497,132.49752794391506,1.0
2009-10-30,-1.1368683772161603e-13,-2.305759766000847,-2.305759766000733,1.0
2009-10-31,-1.7053025658242404e-13,-40.269351865976205,-40.269351865976034,1.0
2009-11-01,4.263256414560601e-13,-46.309013174311985,-46.30901317431241,1.0
2009-11-02,-7.673861546209082e-13,-48.88880636210706,-48.888806362106294,1.0
2009-11-03,-7.673861546209082e-13,-37.7494445558732,-37.74944455587243,1.0
2009-11-04,5.684341886080801e-13,-34.14293950587489,-34.14293950587546,1.0
2009-11-05,5.684341886080801e-13,-29.274312710318554,-29.274312710319123,1.0
2009-11-06,5.684341886080801e-13,-25.206683530821465,-25.206683530822033,1.0
2009-11-07,-7.958078640513122e-13,-23.241073929017148,-23.241073929016352,1.0
2009-11-08,5.115907697472721e-13,-20.5003069198483,-20.50030691984881,1.0
2009-11-09,-1.5631940186722204e-13,-17.10742656148068,-17.107426561480523,1.0
2009-11-10,-2.7000623958883807e-13,-15.06361201881009,-15.06361201880982,1.0
2009-11-11,-1.0516032489249483e-12,-14.429112050040203,-14.429112050039151,1.0
2009-11-12,1.0800249583553523e-12,-12.891171468501852,-12.891171468502932,1.0
2009-11-13,-3.126388037344441e-13,-10.864170615530384,-10.864170615530071,1.0
2009-11-14,7.673861546209082e-13,-7.748825383023359,-7.748825383024126,1.0
2009-11-15,-9.805489753489383e-13,-9.632363876820818,-9.632363876819838,1.0
2009-11-16,4.121147867408581e-13,-11.295214085268526,-11.295214085268938,1.0
2009-11-17,1.4210854715202004e-13,-11.849911992761918,-11.84991199276206,1.0
2009-11-18,4.263256414560601e-14,-9.929543030855712,-9.929543030855754,1.0
2009-11-19,8.526512829121202e-14,-6.110374711266559,-6.110374711266644,1.0
2009-11-20,1.4210854715202004e-14,81.49063899067914,81.49063899067913,1.0
2009-11-21,1.4210854715202004e-13,2.5507214738609036,2.5507214738607615,1.0
2009-11-22,4.547473508864641e-13,-9.284748181764371,-9.284748181764826,1.0
2009-11-23,1.1937117960769683e-12,-9.16110641753221,-9.161106417533404,1.0
2009-11-24,1.9895196601282805e-13,-7.384318299300503,-7.384318299300702,1.0
2009-11-25,-9.379164112033322e-13,-3.4947525665575085,-3.4947525665565706,1.0
2009-11-26,-4.547473508864641e-13,-2.5175004303000605,-2.517500430299606,1.0
2009-11-27,-4.263256414560601e-14,-4.95211386383744,-4.952113863837397,1.0
2009-11-28,1.0231815394945443e-12,-7.378571996154278,-7.378571996155301,1.0
2009-11-29,-1.2221335055073723e-12,-8.450289187599992,-8.45028918759877,1.0
2009-11-30,-1.4210854715202004e-13,-2.7277509928644577,-2.7277509928643155,1.0
2009-12-01,1.4210854715202004e-13,-4.324616863297706,-4.324616863297848,1.0
2009-12-02,-1.4210854715202004e-13,-2.214748557071289,-2.2147485570711467,1.0
2009-12-03,-5.684341886080802e-14,310.77652477191805,310.7765247719181,1.0
2009-12-04,6.821210263296962e-13,103.48237393403178,103.4823739340311,1.0
2009-12-05,7.958078640513122e-13,-8.423421944800793,-8.42342194480159,1.0
2009-12-06,7.389644451905042e-13,-29.593032142736774,-29.593032142737513,1.0
2009-12-07,7.105427357601002e-13,-39.411681511561255,-39.411681511561966,1.0
2009-12-08,-7.389644451905042e-13,-34.742559814700144,-34.742559814699405,1.0
2009-12-09,-4.831690603168681e-13,51.76227822146575,51.76227822146623,1.0
2009-12-10,3.410605131648481e-13,43.73366290412196,43.733662904121616,1.0
2009-12-11,-2.842170943040401e-14,-23.55157943013728,-23.551579430137252,1.0
2009-12-12,8.526512829121202e-14,-29.864052531003836,-29.86405253100392,1.0
2009-12-13,-2.2737367544323206e-13,7.235446441740351,7.235446441740578,1.0
2009-12-14,-7.389644451905042e-13,49.62001754522862,49.62001754522936,1.0
2009-12-15,-3.410605131648481e-13,13.865288688395594,13.865288688395935,1.0
2009-12-16,3.126388037344441e-13,7.722391242998128,7.722391242997816,1.0
2009-12-17,-5.968558980384842e-13,-11.984189776547282,-11.984189776546685,1.0
2009-12-18,-6.821210263296962e-13,-21.811851274993387,-21.811851274992705,1.0
2009-12-19,5.400124791776761e-13,-23.14917574069841,-23.14917574069895,1.0
2009-12-20,5.684341886080801e-13,-22.318436080295214,-22.318436080295783,1.0
2009-12-21,-7.958078640513122e-13,-26.20682306796334,-26.206823067962546,1.0
2009-12-22,-8.526512829121202e-14,-26.908689791982397,-26.90868979198231,1.0
2009-12-23,1.4210854715202004e-13,-26.908358466871505,-26.908358466871647,1.0
2009-12-24,8.810729923425242e-13,-23.574047303138286,-23.574047303139167,1.0
2009-12-25,0.0,-19.08879550479469,-19.08879550479469,1.0
2009-12-26,-2.5579538487363607e-13,76.76904512356487,76.76904512356512,1.0
2009-12-27,8.526512829121202e-13,186.0007010096033,186.00070100960244,1.0
2009-12-28,8.526512829121202e-13,37.04369323392348,37.043693233922625,1.0
2009-12-29,-3.410605131648481e-13,-28.787211278639006,-28.787211278638665,1.0
