date,value
1983-10-01,11973.92828255808
1983-10-02,11965.485362876158
1983-10-03,11956.800264754236
1983-10-04,11947.934465852315
1983-10-05,11939.020159230393
1983-10-06,11930.21496570847
1983-10-07,11921.280626916548
1983-10-08,11912.314116494626
1983-10-09,11903.262440952705
1983-10-10,11894.182238630783
1983-10-11,11885.10974059886
1983-10-12,11876.521498076938
1983-10-13,11870.325794655017
1983-10-14,11863.807916833095
1983-10-15,11856.493980211173
1983-10-16,11848.38402208925
1983-10-17,11839.817203967328
1983-10-18,11831.195386845406
1983-10-19,11827.772849523484
1983-10-20,11823.614854701562
1983-10-21,11817.42502707964
1983-10-22,11810.319506857719
1983-10-23,11803.575944735796
1983-10-24,11826.555254913874
1983-10-25,11832.024434091953
1983-10-26,11831.860069270031
1983-10-27,11829.710447848109
1983-10-28,11826.141742026186
1983-10-29,11821.301323204263
1983-10-30,11815.183478382341
1983-10-31,11808.684157260419
1983-11-01,11801.858390738496
1983-11-02,11794.812263916574
1983-11-03,11787.661181694652
1983-11-04,11780.52520237273
1983-11-05,11773.206935650807
1983-11-06,11765.298257628885
1983-11-07,11757.370911906963
1983-11-08,11749.22318338504
1983-11-09,11740.935283463117
1983-11-10,11733.396242141196
1983-11-11,11732.999420319275
1983-11-12,11733.451324497353
1983-11-13,11731.914824675432
1983-11-14,11728.70574255351
1983-11-15,11725.941388731588
1983-11-16,11765.118363909665
1983-11-17,11791.584132087743
1983-11-18,11803.92370426582
1983-11-19,11809.059896443898
1983-11-20,11810.122521621975
1983-11-21,11849.558646800053
1983-11-22,11881.741771978132
1983-11-23,11904.55573715621
1983-11-24,11923.925232334288
1983-11-25,11985.641202512366
1983-11-26,12043.419062690444
1983-11-27,12095.466857868521
1983-11-28,12145.0717060466
1983-11-29,12232.663911224678
1983-11-30,12306.183426402755
1983-12-01,12365.343101580833
1983-12-02,12417.71555675891
1983-12-03,12465.037239936988
1983-12-04,12521.548955115066
1983-12-05,12582.196010293144
1983-12-06,12642.954895471223
1983-12-07,12744.673600649301
1983-12-08,12814.923745827378
1983-12-09,12873.866581005457
1983-12-10,12929.565136183535
1983-12-11,12979.864964361614
1983-12-12,13038.119269539691
1983-12-13,13389.912814717769
1983-12-14,13897.963349895846
1983-12-15,14257.215635073924
1983-12-16,14503.268660252003
1983-12-17,14657.44642543008
1983-12-18,14764.397495608158
1983-12-19,14848.418900786237
1983-12-20,14914.029605964315
1983-12-21,14971.782591142393
1983-12-22,14978.5524
1983-12-23,14978.5524
1983-12-24,14978.5524
1983-12-25,14978.5524
1983-12-26,14978.5524
1983-12-27,14978.5524
1983-12-28,14978.5524
1983-12-29,14978.5524
1983-12-30,14978.5524
1983-12-31,14978.5524
1984-01-01,14978.5524
1984-01-02,14978.5524
1984-01-03,14978.5524
1984-01-04,14978.5524
1984-01-05,14978.5524
1984-01-06,14978.5524
1984-01-07,14978.5524
1984-01-08,14978.5524
1984-01-09,14978.5524
1984-01-10,14978.5524
1984-01-11,14978.5524
1984-01-12,14978.5524
1984-01-13,14978.5524
1984-01-14,14978.5524
1984-01-15,14978.5524
1984-01-16,14977.651738178078
1984-01-17,14977.129703356155
1984-01-18,14976.493242534232
1984-01-19,14975.83061571231
1984-01-20,14974.251982490388
1984-01-21,14972.828828668466
1984-01-22,14971.126403246544
1984-01-23,14970.184836424622
1984-01-24,14971.6830126027
1984-01-25,14978.5524
1984-01-26,14978.5524
1984-01-27,14978.5524
1984-01-28,14978.5524
1984-01-29,14978.5524
1984-01-30,14978.5524
1984-01-31,14978.5524
1984-02-01,14978.5524
1984-02-02,14978.5524
1984-02-03,14978.5524
1984-02-04,14978.5524
1984-02-05,14978.5524
1984-02-06,14978.5524
1984-02-07,14978.5524
1984-02-08,14978.5524
1984-02-09,14978.5524
1984-02-10,14978.5524
1984-02-11,14978.5524
1984-02-12,14978.5524
1984-02-13,14978.5524
1984-02-14,14978.5524
1984-02-15,14978.5524
1984-02-16,14978.5524
1984-02-17,14978.5524
1984-02-18,14978.5524
1984-02-19,14978.5524
1984-02-20,14978.5524
1984-02-21,14978.5524
1984-02-22,14978.5524
1984-02-23,14978.5524
1984-02-24,14978.5524
1984-02-25,14978.5524
1984-02-26,14978.5524
1984-02-27,14978.5524
1984-02-28,14978.5524
1984-02-29,14978.5524
1984-03-01,14978.5524
1984-03-02,14978.5524
1984-03-03,14978.5524
1984-03-04,14978.5524
1984-03-05,14978.5524
1984-03-06,14978.5524
1984-03-07,14978.5524
1984-03-08,14978.5524
1984-03-09,14978.5524
1984-03-10,14978.5524
1984-03-11,14978.5524
1984-03-12,14978.5524
1984-03-13,14978.5524
1984-03-14,14978.5524
1984-03-15,14978.5524
1984-03-16,14978.5524
1984-03-17,14978.5524
1984-03-18,14978.5524
1984-03-19,14978.5524
1984-03-20,14978.5524
1984-03-21,14978.5524
1984-03-22,14978.5524
1984-03-23,14978.5524
1984-03-24,14978.5524
1984-03-25,14978.5524
1984-03-26,14978.5524
1984-03-27,14978.5524
1984-03-28,14978.5524
1984-03-29,14978.5524
1984-03-30,14978.5524
1984-03-31,14978.5524
1984-04-01,14978.5524
1984-04-02,14978.5524
1984-04-03,14978.5524
1984-04-04,14978.5524
1984-04-05,14978.5524
1984-04-06,14978.5524
1984-04-07,14978.5524
1984-04-08,14978.5524
1984-04-09,14978.5524
1984-04-10,14978.5524
