date,value
1983-10-01,69685.7965736616
1983-10-02,69003.64433774687
1983-10-03,68320.7308173765
1983-10-04,67631.95680934572
1983-10-05,66941.22353085452
1983-10-06,66253.75903475787
1983-10-07,65563.5509032324
1983-10-08,64870.809664268105
1983-10-09,64176.67931330948
1983-10-10,63482.12356325812
1983-10-11,62786.87540649106
1983-10-12,62106.72239159932
1983-10-13,61453.793647414
1983-10-14,60805.58970617454
1983-10-15,60148.74202216093
1983-10-16,59480.59522866854
1983-10-17,58805.71720410895
1983-10-18,58128.79762638409
1983-10-19,57497.03060901092
1983-10-20,56856.112514530134
1983-10-21,56197.42898874443
1983-10-22,55531.85515619544
1983-10-23,54869.60924920433
1983-10-24,54347.224409666065
1983-10-25,53768.45562560065
1983-10-26,53159.48931695358
1983-10-27,52530.25358322837
1983-10-28,51890.63784772326
1983-10-29,51242.98943514691
1983-10-30,50587.73290515869
1983-10-31,49929.267314503224
1983-11-01,49268.8385791434
1983-11-02,48606.63570831388
1983-11-03,47973.975374934074
1983-11-04,47370.52109464763
1983-11-05,46794.14793663313
1983-11-06,46243.60828049301
1983-11-07,45718.03641698105
1983-11-08,45216.050823816695
1983-11-09,44736.61192085768
1983-11-10,44281.95294043958
1983-11-11,43861.78847438676
1983-11-12,43463.187182322436
1983-11-13,43076.698867261766
1983-11-14,42704.09822081886
1983-11-15,42349.66192668517
1983-11-16,42052.91113962869
1983-11-17,41761.77900630899
1983-11-18,41474.34495932819
1983-11-19,41194.03181419779
1983-11-20,40922.28181705496
1983-11-21,40700.96189575913
1983-11-22,40481.08369344154
1983-11-23,40261.66724342999
1983-11-24,40049.38603727301
1983-11-25,39910.162549706554
1983-11-26,39768.06389349221
1983-11-27,39621.19764302897
1983-11-28,39475.92774281562
1983-11-29,39671.09710030283
1983-11-30,39633.99065779005
1983-12-01,39517.66050470538
1983-12-02,39389.14039742017
1983-12-03,39255.697666710555
1983-12-04,39140.3553849812
1983-12-05,39033.83012230328
1983-12-06,38944.86017520109
1983-12-07,39317.3534326883
1983-12-08,39300.747090175515
1983-12-09,39204.101413738135
1983-12-10,39099.26212716424
1983-12-11,38986.777676030244
1983-12-12,38902.27351577634
1983-12-13,40911.84077326355
1983-12-14,43651.51283075077
1983-12-15,45020.54678823798
1983-12-16,45886.127045725196
1983-12-17,46344.73690321241
1983-12-18,46487.91066069963
1983-12-19,46422.36591818684
1983-12-20,46224.911375674055
1983-12-21,45968.10520316127
1983-12-22,45719.564780648485
1983-12-23,45481.6417881357
1983-12-24,45230.531845622914
1983-12-25,44939.329643110126
1983-12-26,44640.70150059734
1983-12-27,44327.71108808455
1983-12-28,44006.793045571765
1983-12-29,43734.23583305898
1983-12-30,43417.88379054619
1983-12-31,43097.60254129593
1984-01-01,42787.66689514546
1984-01-02,42488.380060512
1984-01-03,42200.60301006656
1984-01-04,41925.00471868117
1984-01-05,41661.90949417793
1984-01-06,41409.77170191633
1984-01-07,41166.883119836195
1984-01-08,40932.02422592755
1984-01-09,40705.25383287295
1984-01-10,40485.49317825975
1984-01-11,40273.73492345359
1984-01-12,40070.24795655466
1984-01-13,39876.84849233191
1984-01-14,39693.45510494663
1984-01-15,39519.37471942911
1984-01-16,39354.04779313087
1984-01-17,39197.03616364518
1984-01-18,39048.16579404076
1984-01-19,38906.9595477122
1984-01-20,38773.233412839094
1984-01-21,38646.482702031244
1984-01-22,38526.628706882795
1984-01-23,38416.14952796069
1984-01-24,38319.60057365395
1984-01-25,38241.63485133263
1984-01-26,38172.70863967725
1984-01-27,38099.51810238659
1984-01-28,38025.74952343535
1984-01-29,37951.46241206259
1984-01-30,37877.85641932848
1984-01-31,37805.686245623445
1984-02-01,37734.07004839606
1984-02-02,37666.66427790878
1984-02-03,37606.59354231504
1984-02-04,37564.90177438198
1984-02-05,37521.88817657192
1984-02-06,37473.64102384616
1984-02-07,37422.15049009963
1984-02-08,37369.3642520718
1984-02-09,37317.92969566484
1984-02-10,37266.74260039666
1984-02-11,37223.22259409047
1984-02-12,37197.977729617356
1984-02-13,37186.82426838589
1984-02-14,37225.32286913644
1984-02-15,38936.872926623655
1984-02-16,40311.05718411087
1984-02-17,41037.20374159808
1984-02-18,41465.436399085294
1984-02-19,41681.55405657251
1984-02-20,41810.387954059726
1984-02-21,41747.937251546944
1984-02-22,41581.17220903416
1984-02-23,41396.27907119673
1984-02-24,41375.316468683945
1984-02-25,41276.50612617116
1984-02-26,41114.53647606623
1984-02-27,40944.88363964867
1984-02-28,40782.17223502311
1984-02-29,40623.40487712138
1984-03-01,40462.62454101916
1984-03-02,40304.5419552117
1984-03-03,40146.425040552764
1984-03-04,39989.74677951253
1984-03-05,39838.21688523069
1984-03-06,39694.041216035344
1984-03-07,39553.82540157591
1984-03-08,39416.0787486541
1984-03-09,39283.16822326225
1984-03-10,39154.206504575064
1984-03-11,39029.330120751125
1984-03-12,38907.262242786746
1984-03-13,38788.72957498055
1984-03-14,38676.30463190066
1984-03-15,38569.860775561334
1984-03-16,38475.30293537454
1984-03-17,38392.859543554536
1984-03-18,38313.4335803235
1984-03-19,38243.22441125635
1984-03-20,38186.24594427645
1984-03-21,38160.22367630946
1984-03-22,38164.54477927856
1984-03-23,38148.69279856643
1984-03-24,38119.847378914485
1984-03-25,38085.47988951492
1984-03-26,38046.05904198228
1984-03-27,38000.388533522724
1984-03-28,37964.998954182396
1984-03-29,37946.74892047791
1984-03-30,37916.154781878744
1984-03-31,37881.41992191573
1984-04-01,37856.1189178877
1984-04-02,37847.09597911772
1984-04-03,37856.26168100176
1984-04-04,37903.75900413021
1984-04-05,39875.82006161742
1984-04-06,42082.06901910464
1984-04-07,43385.04557659185
1984-04-08,44196.90563407907
1984-04-09,44751.55919156629
1984-04-10,45035.270949053505
1984-04-11,45142.62300654072
1984-04-12,45047.88561402794
1984-04-13,44867.167971515155
1984-04-14,44665.51056900237
1984-04-15,44541.08192648958
1984-04-16,44907.9886839768
1984-04-17,45318.07244146401
1984-04-18,45579.37489895123
1984-04-19,45879.088196438446
1984-04-20,46157.196253925664
1984-04-21,46242.726511412875
1984-04-22,46170.15926890009
1984-04-23,46047.3470263873
1984-04-24,45943.762343874514
1984-04-25,45785.200701361726
1984-04-26,45567.48567884894
1984-04-27,45300.327666336154
1984-04-28,44986.396523823365
1984-04-29,44651.59740131058
1984-04-30,44313.00832258333
1984-05-01,43987.50384953605
1984-05-02,43671.11514781187
1984-05-03,43369.53640273561
1984-05-04,44116.18716022283
1984-05-05,44465.740217710045
1984-05-06,44536.86580519726
1984-05-07,44440.35366268447
1984-05-08,44375.47222017169
1984-05-09,44421.771517658904
1984-05-10,44280.69067514612
1984-05-11,44075.32933263334
1984-05-12,43846.87387012055
1984-05-13,43600.023357607766
1984-05-14,43384.21451509498
1984-05-15,43140.25029853355
1984-05-16,42899.898306213705
1984-05-17,42664.01792960759
1984-05-18,42433.51898187064
1984-05-19,42212.83256652591
1984-05-20,42002.76116580929
1984-05-21,41817.33528760499
1984-05-22,41627.73327536003
1984-05-23,41452.9269036492
1984-05-24,41308.92836848226
1984-05-25,41151.12236809838
1984-05-26,40995.98281972917
1984-05-27,40847.472200140386
1984-05-28,40715.19243075336
1984-05-29,42433.218288240576
1984-05-30,45424.00094572779
1984-05-31,46993.101503215
1984-06-01,47747.777460702215
1984-06-02,48106.71261818943
1984-06-03,48163.00427567664
1984-06-04,48053.88173316386
1984-06-05,47844.47415065107
1984-06-06,47567.849888138284
1984-06-07,47231.8532856255
1984-06-08,46841.07808311271
1984-06-09,46438.54537915901
1984-06-10,46049.65937306639
1984-06-11,45675.098535806064
1984-06-12,45313.90219607494
1984-06-13,44968.11607618331
1984-06-14,44642.678700151395
1984-06-15,44329.31969945075
1984-06-16,44030.226864971104
1984-06-17,43746.052025633406
1984-06-18,43484.87459863156
1984-06-19,43240.76219139271
1984-06-20,43001.23655589724
1984-06-21,42769.7863858742
1984-06-22,42547.993312877596
1984-06-23,42336.76025393065
1984-06-24,42146.632940894386
1984-06-25,42003.50380868209
1984-06-26,41839.324154003225
1984-06-27,41675.84963192074
1984-06-28,41518.03702219556
1984-06-29,41367.222671384865
1984-06-30,41268.50433465841
1984-07-01,41193.07938984251
1984-07-02,41121.993834567766
1984-07-03,41035.06026017886
1984-07-04,40951.82986719296
1984-07-05,40867.165570874415
1984-07-06,40794.09460253284
1984-07-07,40778.16669872435
1984-07-08,40741.99153882469
1984-07-09,40686.22362421271
1984-07-10,40621.09963504201
1984-07-11,40557.491500958895
1984-07-12,40507.30011864532
1984-07-13,40442.14679797006
1984-07-14,40371.33863842964
1984-07-15,40296.8504795344
1984-07-16,40245.87124618863
1984-07-17,40186.544704787564
1984-07-18,40166.386265923764
1984-07-19,40141.31369546869
1984-07-20,40094.48944361649
1984-07-21,40041.59748447803
1984-07-22,39989.953920772845
1984-07-23,39932.95929327553
1984-07-24,39873.187661995515
1984-07-25,39811.543798429535
1984-07-26,39749.25476360762
1984-07-27,39714.79353035081
1984-07-28,39686.00101169041
1984-07-29,39641.2900961135
1984-07-30,39590.74932083531
1984-07-31,39538.1913572958
1984-08-01,39484.62554307325
1984-08-02,39434.58330379871
1984-08-03,39392.96778431768
1984-08-04,39344.88087720952
1984-08-05,39300.15370913059
1984-08-06,39255.24949535998
1984-08-07,39207.30594368708
1984-08-08,39159.64997760078
1984-08-09,39110.965571942914
1984-08-10,39063.94056526641
1984-08-11,39019.79345299226
1984-08-12,38974.750232740655
1984-08-13,38930.617000834674
1984-08-14,38885.66952575229
1984-08-15,38842.896776274916
1984-08-16,38798.510703008316
1984-08-17,38754.273252672836
1984-08-18,38709.87079046699
1984-08-19,38665.023097790836
1984-08-20,38625.71470174607
1984-08-21,38584.40669555122
1984-08-22,38541.76956843649
1984-08-23,38503.0981698376
1984-08-24,38465.174686111415
1984-08-25,38424.44637041687
1984-08-26,38382.73397536929
1984-08-27,38340.65788010446
1984-08-28,38298.6507899881
1984-08-29,38256.91186811051
1984-08-30,38215.684760905904
1984-08-31,38185.723757771746
1984-09-01,38148.201849524965
1984-09-02,38108.54887028486
